Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
102,36.3,6,0,1,Farmer,M,Good,11 cedis and above,2,Close,No,Excellent,Good,38,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,No,,
103,36.9,6,1,1,Teacher,high,Good,6-10 cedis,3,Far,No,Excellent,Excellent,38,Yes,Yes,Yes,less than an hour,Regularly,Not at all,Yes,Yes,No,,
104,37,6,1,1,Trader,M,Good,6-10 cedis,3,very Far,No,Average,Good,38,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,Yes,Sports,Maybe
105,37,6,0,2,Physician Assistant,high,Good,11 cedis and above,3,Far,No,Excellent,Excellent,39,Yes,Yes,Maybe,2 hours and above,Regularly,Sometimes,Yes,Yes,No,,
106,37,6,0,1,Administrator,high,Good,6-10 cedis,3,Far,Maybe,Excellent,Good,38,Yes,Yes,Maybe,1 hour,Regularly,Sometimes,Yes,Yes,No,,
107,37,6,0,2,Dietician,high,Good,11 cedis and above,3,Far,Maybe,Average,Average,38,Yes,Yes,Yes,less than an hour,Irregularly,Sometimes,Yes,Yes,No,,
108,37,6,0,1,Banker,high,Fair,11 cedis and above,2,very Far,No,Average,Good,38,Yes,Yes,Yes,2 hours and above,Regularly,Not at all,Yes,Yes,No,,
109,37.8,6,1,1,Nurse,M,Fair,2-5 cedis,3,Close,No,Excellent,Average,26,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
110,37.9,6,1,1,Teacher,M,Good,2-5 cedis,1,very Far,Yes,Average,Poor,26,No,No,No,2 hours and above,Regularly,Not at all,Yes,Yes,Yes,Sports,No
111,38,6,1,1,Doctor,high,Good,11 cedis and above,3,very Far,Maybe,Average,Good,26,Yes,Yes,Yes,less than an hour,Regularly,Often,Yes,No,Yes,Sports,Maybe
112,38,6,1,1,Trader,M,Good,11 cedis and above,3,Close,No,Excellent,Excellent,25,Yes,Yes,Yes,less than an hour,Regularly,Not at all,Yes,No,Yes,Quiz ,Yes
113,38,6,0,2,Trader,M,Poor,6-10 cedis,2,Far,No,Average,Excellent,38,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,No,,
114,38,6,1,2,Caterer,M,Good,11 cedis and above,3,very Close,No,Excellent,Average,27,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,Yes,Sports,No
115,38,6,1,1,Nurse,M,Fair,6-10 cedis,2,Close,Yes,Average,Excellent,26,Yes,Maybe,Maybe,less than an hour,Regularly,Sometimes,Yes,No,No,,
